Name,Type,Image,Stats
Nebula,Indica,https://assets.wikileaf.com/assets/strains/strain/Strain-Nebula.png,THC 18%
Permafrost,Sativa,https://assets.wikileaf.com/assets/strains/strain/Permafrost-icon.jpg,THC 18%
Sage N Sour,Sativa,https://assets.wikileaf.com/assets/strains/strain/Sage_N_Sour_500x500.png,THC 19%
Cinderella 99,Sativa,https://assets.wikileaf.com/assets/strains/strain/Cinderella-99-Icon.png,THC 22%
Kali Mist,Sativa,https://assets.wikileaf.com/assets/strains/strain/Kali_Mist_500x500.png,THC 15%
Dutch Dragon,Sativa,https://assets.wikileaf.com/assets/strains/strain/Dutch_Dragon.jpg,THC 20%
Ice,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Ice_500x500.png,THC 20%
Neville's Haze,Sativa,https://assets.wikileaf.com/assets/strains/strain/Nevilles_Haze.jpg,THC 21%
Clockwork Orange,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Clockwork-Orange-icon.jpg,THC 21%
OGiesel,Hybrid,https://assets.wikileaf.com/assets/strains/strain/OGiesel-icon.jpg,THC 19%
Kaboom,Sativa,https://assets.wikileaf.com/assets/strains/strain/Kaboom-icon.jpg,THC 16%
Thai Tanic,Sativa,https://assets.wikileaf.com/assets/strains/strain/Thai-Tanic-icon.jpg,THC 15%
Willie Nelson,Sativa,https://assets.wikileaf.com/assets/strains/strain/Willie-Nelson-Icon.jpg,THC 22%
Haze,Sativa,https://assets.wikileaf.com/assets/strains/strain/Haze-Icon.jpg,THC 27%
Jamaican Pearl,Sativa,https://assets.wikileaf.com/assets/strains/strain/Jamaican-Pearl-icon.jpg,THC 22%
Sensi Star,Indica,https://assets.wikileaf.com/assets/strains/strain/Sensi_Star-Icon.jpg,THC 20%
AK-47,Sativa,https://assets.wikileaf.com/assets/strains/strain/AK-47.png,THC 20%
Amnesia Haze,Sativa,https://assets.wikileaf.com/assets/strains/strain/Amnesia_Haze_500x500.png,THC 25%
Mango Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Mango_Kush_500x500.png,THC 21%
Mendocino Purps,Indica,https://assets.wikileaf.com/assets/strains/strain/Mendocino-Purps-icon.png,THC 20%
Master Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Master-Kush-Icon.jpg,THC 20%
Blue Mystic,Indica,https://assets.wikileaf.com/assets/strains/strain/Blue-Mystic-Icon.jpg,THC 21%
Lavender,Indica,https://assets.wikileaf.com/assets/strains/strain/Strain-Lavender.png,THC 20%
Agent Orange,Sativa,https://assets.wikileaf.com/assets/strains/strain/Agent-Orange-icon.jpg,THC 15%
Champagne Kush,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Champagne_Kush.jpg,THC 15%
Dutch Treat,Indica,https://assets.wikileaf.com/assets/strains/strain/Dutch-Treat-Icon.jpg,THC 30%
Ogre Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Ogre_Kush.png,THC 27%
Lemon Diesel,Indica,https://assets.wikileaf.com/assets/strains/strain/Lemon-Diesel-Icon.png,THC 18%
Orange Crush,Sativa,https://assets.wikileaf.com/assets/strains/strain/Orange-Crush-icon.png,THC 29%
Kandy Kush,Indica,https://assets.wikileaf.com/assets/strains/strain/Kandy-Kush-Icon.jpg,THC 20%
Alien Dawg,Indica,https://assets.wikileaf.com/assets/strains/strain/Alien-Dawg-icon.jpg,THC 20%
Medicine Man,Indica,https://assets.wikileaf.com/assets/strains/strain/Medicine-Man-icon.jpg,THC 23%
Amnesia,Hybrid,https://assets.wikileaf.com/assets/strains/strain/Amnesia_500x500.png,THC 20%
Pandora's Box,Sativa,https://assets.wikileaf.com/assets/strains/strain/Pandoras-Box-icon.jpg,THC 19%
Space Queen,Sativa,https://assets.wikileaf.com/assets/strains/strain/Space-Queen-Icon.jpg,THC 16%
Blue Crack,Sativa,https://assets.wikileaf.com/assets/strains/strain/Blue-Crack-icon.jpg,THC 22%
Dream Queen,Sativa,https://assets.wikileaf.com/assets/strains/strain/Dream-Queen-Icon.jpg,THC 19%
Jack Flash,Indica,https://assets.wikileaf.com/assets/strains/strain/Jack_Flash.png,THC 20%
Skunk #1,Indica,https://assets.wikileaf.com/assets/strains/strain/Skunk1-icon.jpg,THC 22%
